Promedio horarios de pm2Promedio horarios de pm2
Fecha,Hora,ACO,AJM,AJU,ATI,BJU,CAM,CCA,MON,CHO,COY,CUA,CUT,FAC,FAR,GAM,HGM,INN,IZT,LLA,LPR,MER,MGH,MPA,NEZ,PED,SAC,SAG,SFE,SJA,SUR,TAH,TEC,TLA,TLI,TPN,UAX,UIZ,VIF,XAL,
01-11-2024,1,nr,11,nr,nr,18,17,nr,19,nr,nr,nr,nr,nr,nr,19,nr,12,nr,nr,nr,17,nr,nr,nr,11,12,3,nr,nr,nr,nr,nr,20,nr,nr,nr,nr,nr,nr,
01-11-2024,2,nr,7,15,nr,16,20,17,15,nr,nr,nr,nr,nr,8,24,nr,10,nr,nr,nr,20,nr,nr,nr,10,12,5,nr,nr,nr,nr,nr,21,nr,nr,13,nr,nr,nr,
01-11-2024,3,nr,10,15,nr,22,19,11,17,nr,nr,nr,nr,nr,14,13,nr,8,nr,nr,nr,17,nr,nr,nr,15,16,6,nr,nr,nr,nr,nr,28,nr,nr,21,nr,nr,nr,
01-11-2024,4,nr,8,9,nr,24,30,12,16,nr,nr,nr,nr,nr,14,13,nr,10,nr,nr,nr,18,nr,nr,nr,11,15,28,nr,nr,nr,nr,nr,24,nr,nr,18,nr,nr,nr,
01-11-2024,5,nr,8,11,nr,17,33,11,20,nr,nr,nr,nr,nr,19,19,nr,10,nr,nr,nr,25,nr,nr,nr,11,28,24,nr,nr,nr,nr,nr,32,nr,nr,19,nr,nr,nr,
01-11-2024,6,nr,11,11,nr,21,32,17,19,nr,nr,nr,nr,nr,23,19,nr,8,nr,nr,nr,28,nr,nr,nr,12,28,20,nr,nr,nr,nr,nr,50,nr,nr,22,nr,nr,nr,
01-11-2024,7,nr,12,10,nr,25,33,18,20,nr,nr,nr,nr,nr,22,18,nr,9,nr,nr,nr,30,nr,nr,nr,14,29,10,nr,nr,nr,nr,nr,13,nr,nr,25,nr,nr,nr,
01-11-2024,8,nr,10,13,nr,25,38,19,20,nr,nr,nr,nr,nr,9,28,nr,9,nr,nr,nr,34,nr,nr,15,15,20,15,nr,nr,nr,nr,nr,34,nr,nr,23,nr,nr,nr,
01-11-2024,9,nr,17,14,nr,21,24,20,22,nr,nr,nr,nr,nr,16,30,nr,10,nr,nr,nr,34,nr,nr,25,18,22,23,nr,nr,nr,nr,nr,21,nr,nr,32,nr,nr,nr,
01-11-2024,10,nr,16,9,nr,22,36,20,19,nr,nr,nr,nr,nr,14,27,nr,10,nr,nr,nr,31,nr,nr,25,17,17,15,nr,nr,nr,nr,nr,32,nr,nr,27,nr,nr,nr,
01-11-2024,11,nr,19,18,nr,21,22,20,19,nr,nr,nr,nr,nr,17,24,nr,10,nr,nr,nr,29,nr,nr,28,20,15,19,nr,nr,nr,nr,nr,24,nr,nr,18,nr,nr,nr,
01-11-2024,12,nr,22,20,nr,26,29,15,nr,nr,nr,nr,nr,nr,16,24,nr,18,nr,nr,nr,23,nr,nr,34,16,nr,16,nr,nr,nr,nr,nr,25,nr,nr,14,nr,nr,nr,
01-11-2024,13,nr,25,19,nr,26,16,17,nr,nr,nr,nr,nr,nr,19,23,nr,16,nr,nr,nr,28,nr,nr,27,18,1,4,nr,nr,nr,nr,nr,14,nr,nr,18,nr,nr,nr,
01-11-2024,14,nr,21,23,nr,29,44,21,nr,nr,nr,nr,nr,nr,11,18,nr,17,nr,nr,nr,29,nr,nr,nr,26,36,14,nr,nr,nr,nr,nr,24,nr,nr,24,nr,nr,nr,
01-11-2024,15,nr,35,24,nr,30,43,26,nr,nr,nr,nr,nr,nr,10,20,nr,22,nr,nr,nr,22,nr,nr,nr,26,32,12,nr,nr,nr,nr,nr,23,nr,nr,30,nr,nr,nr,
01-11-2024,16,nr,34,25,nr,20,27,22,nr,nr,nr,nr,nr,nr,13,28,nr,27,nr,nr,nr,22,nr,nr,nr,30,35,nr,nr,nr,nr,nr,nr,22,nr,nr,23,nr,nr,nr,
01-11-2024,17,nr,35,26,nr,24,9,19,nr,nr,nr,nr,nr,nr,13,11,nr,28,nr,nr,nr,17,nr,nr,35,15,47,10,nr,nr,nr,nr,nr,2,nr,nr,37,nr,nr,nr,
01-11-2024,18,nr,26,25,nr,22,34,21,12,nr,nr,nr,nr,nr,20,26,nr,25,nr,nr,nr,25,nr,nr,75,28,37,23,nr,nr,nr,nr,nr,29,nr,nr,38,nr,nr,nr,
01-11-2024,19,nr,30,27,nr,31,29,25,33,nr,nr,nr,nr,nr,37,37,nr,25,nr,nr,nr,25,nr,nr,nr,23,29,27,nr,nr,nr,nr,nr,26,nr,nr,39,nr,nr,nr,
01-11-2024,20,nr,34,27,nr,24,34,25,20,nr,nr,nr,nr,nr,30,15,nr,24,nr,nr,nr,22,nr,nr,nr,30,26,24,nr,nr,nr,nr,nr,17,nr,nr,28,nr,nr,nr,
01-11-2024,21,nr,17,16,nr,28,19,18,25,nr,nr,nr,nr,nr,25,14,nr,10,nr,nr,nr,24,nr,nr,nr,19,25,14,nr,nr,nr,nr,nr,15,nr,nr,21,nr,nr,nr,
01-11-2024,22,nr,14,10,nr,21,20,18,25,nr,nr,nr,nr,nr,19,22,nr,nr,nr,nr,nr,18,nr,nr,nr,23,30,18,nr,nr,nr,nr,nr,22,nr,nr,23,nr,nr,nr,
01-11-2024,23,nr,14,11,nr,23,21,16,19,nr,nr,nr,nr,nr,16,29,nr,0,nr,nr,nr,23,nr,nr,nr,16,32,24,nr,nr,nr,nr,nr,15,nr,nr,16,nr,nr,nr,
