Promedio horarios de pm2Promedio horarios de pm2
Fecha,Hora,ACO,AJM,AJU,ATI,BJU,CAM,CCA,MON,CHO,COY,CUA,CUT,FAC,FAR,GAM,HGM,INN,IZT,LLA,LPR,MER,MGH,MPA,NEZ,PED,SAC,SAG,SFE,SJA,SUR,TAH,TEC,TLA,TLI,TPN,UAX,UIZ,VIF,XAL,
01-09-2024,1,nr,nr,nr,nr,5,5,nr,nr,nr,nr,nr,nr,nr,7,nr,nr,nr,nr,nr,nr,14,nr,nr,9,9,12,nr,nr,nr,nr,nr,nr,nr,nr,nr,6,nr,nr,nr,
01-09-2024,2,nr,2,1,nr,6,3,nr,nr,nr,nr,nr,nr,nr,21,nr,nr,nr,nr,nr,nr,4,nr,nr,14,5,8,nr,nr,nr,nr,nr,nr,nr,nr,nr,12,nr,nr,nr,
01-09-2024,3,nr,1,3,nr,8,11,nr,nr,nr,nr,nr,nr,nr,5,nr,nr,nr,nr,nr,nr,17,nr,nr,10,10,8,nr,nr,nr,nr,nr,nr,nr,nr,nr,9,nr,nr,nr,
01-09-2024,4,nr,3,7,nr,15,17,12,nr,nr,nr,nr,nr,nr,8,nr,nr,nr,nr,nr,nr,22,nr,nr,8,4,8,nr,nr,nr,nr,nr,nr,nr,nr,nr,17,nr,nr,nr,
01-09-2024,5,nr,4,4,nr,15,12,1,nr,nr,nr,nr,nr,nr,12,nr,nr,nr,nr,nr,nr,7,nr,nr,13,7,13,nr,nr,nr,nr,nr,nr,nr,nr,nr,16,nr,nr,nr,
01-09-2024,6,nr,4,3,nr,13,11,nr,nr,nr,nr,nr,nr,nr,16,nr,nr,nr,nr,nr,nr,14,nr,nr,16,6,10,nr,nr,nr,nr,nr,nr,nr,nr,nr,16,nr,nr,nr,
01-09-2024,7,nr,5,3,nr,23,10,26,nr,nr,nr,nr,nr,nr,6,nr,nr,nr,nr,nr,nr,14,nr,nr,13,5,10,nr,nr,nr,nr,nr,nr,nr,nr,nr,18,nr,nr,nr,
01-09-2024,8,nr,3,5,nr,22,5,13,nr,nr,nr,nr,nr,nr,19,nr,nr,nr,nr,nr,nr,19,nr,nr,12,4,8,nr,nr,nr,nr,nr,nr,nr,nr,nr,17,nr,nr,nr,
01-09-2024,9,nr,9,8,nr,19,25,11,nr,nr,nr,nr,nr,nr,6,nr,nr,nr,nr,nr,nr,20,nr,nr,12,8,14,nr,nr,nr,nr,nr,nr,nr,nr,nr,14,nr,nr,nr,
01-09-2024,10,nr,13,1,nr,20,21,9,nr,nr,nr,nr,nr,nr,3,nr,nr,nr,nr,nr,nr,18,nr,nr,10,17,14,nr,nr,nr,nr,nr,nr,nr,nr,nr,5,nr,nr,nr,
01-09-2024,11,nr,11,4,nr,31,27,14,nr,nr,nr,nr,nr,nr,9,nr,nr,7,nr,nr,nr,23,nr,nr,14,20,19,nr,nr,nr,nr,nr,nr,nr,nr,nr,5,nr,nr,nr,
