Promedio horarios de tmpPromedio horarios de tmp
Fecha,Hora,ACO,AJM,AJU,ATI,BJU,CAM,CCA,CES,MON,CHO,COY,CUA,CUT,FAC,FAR,GAM,HGM,IMP,INN,IZT,LLA,LPR,MER,MGH,MPA,NEZ,PED,PLA,SAC,SAG,SFE,SJA,SS1,SUR,TAC,TAH,TEC,TLA,TLI,TPN,UAX,UIZ,VIF,XAL,
01-10-2024,1,nr,nr,10,nr,15,nr,nr,nr,14,nr,nr,nr,13,14,nr,16,nr,nr,12,nr,nr,nr,17,15,nr,15,nr,nr,nr,15,nr,nr,10,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,
01-10-2024,2,nr,nr,10,nr,15,nr,nr,nr,13,nr,nr,nr,13,14,nr,16,nr,nr,12,nr,nr,nr,16,16,nr,15,nr,nr,nr,15,nr,nr,10,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,
01-10-2024,3,nr,nr,9,nr,15,nr,nr,nr,12,nr,nr,nr,13,14,nr,16,nr,nr,11,nr,nr,nr,16,15,nr,15,nr,nr,nr,15,nr,nr,10,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,
01-10-2024,4,nr,nr,9,nr,15,nr,nr,nr,11,nr,nr,nr,13,14,nr,15,nr,nr,11,nr,nr,nr,16,15,nr,15,nr,nr,nr,15,nr,nr,10,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,
01-10-2024,5,nr,nr,9,nr,15,nr,nr,nr,11,nr,nr,nr,13,14,nr,15,nr,nr,11,nr,nr,nr,16,15,nr,15,nr,nr,nr,15,nr,nr,10,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,
01-10-2024,6,nr,nr,9,nr,15,nr,nr,nr,11,nr,nr,nr,12,13,nr,14,nr,nr,11,nr,nr,nr,15,14,nr,14,nr,nr,nr,15,nr,nr,9,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,
01-10-2024,7,nr,nr,9,nr,14,nr,nr,nr,10,nr,nr,nr,12,13,nr,14,nr,nr,11,nr,nr,nr,15,14,nr,14,nr,nr,nr,14,nr,nr,9,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,
01-10-2024,8,nr,nr,9,nr,15,nr,nr,nr,10,nr,nr,nr,12,13,nr,15,nr,nr,11,nr,nr,nr,16,15,nr,15,nr,nr,nr,15,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,
01-10-2024,9,nr,nr,10,nr,15,nr,nr,nr,13,nr,nr,nr,13,15,nr,17,nr,nr,11,nr,nr,nr,19,15,nr,15,nr,nr,nr,16,nr,nr,12,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,
01-10-2024,10,nr,nr,10,nr,16,nr,nr,nr,16,nr,nr,nr,14,15,nr,18,nr,nr,12,nr,nr,nr,20,15,nr,16,nr,nr,nr,18,nr,nr,14,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,
01-10-2024,11,nr,nr,10,nr,17,nr,nr,nr,18,nr,nr,nr,16,16,nr,19,nr,nr,12,nr,nr,nr,20,16,nr,18,nr,nr,nr,19,nr,nr,15,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,nr,
